27 players are scheduled on step 169161
[[18, 26], [3, 16], [12, 17], [10, 25], [2, 11], [15, 23], [8, 14], [9, 13], [20, 24], [7, 19], [6, 22], [1, 21]]
[[4, 22], [5, 17], [13, 23], [6, 11], [2, 19], [8, 20], [7, 24], [12, 21], [18, 25], [9, 16], [1, 10], [14, 15]]
[[13, 21], [5, 16], [6, 24], [15, 19], [1, 9], [3, 18], [7, 11], [14, 25], [2, 27], [20, 22], [10, 12], [4, 17]]
[[10, 15], [1, 26], [2, 23], [13, 17], [4, 14], [3, 22], [5, 25], [24, 27], [7, 21], [8, 12], [6, 16], [18, 19]]
[[1, 14], [17, 21], [23, 25], [11, 18], [12, 15], [8, 13], [6, 20], [10, 27], [7, 16], [3, 5], [2, 22], [24, 26]]
[[4, 5], [2, 7], [6, 12], [14, 16], [20, 25], [8, 17], [3, 19], [18, 23], [26, 27], [10, 24], [11, 22], [9, 21]]
[[17, 18], [9, 10], [5, 7], [23, 24], [3, 25], [12, 14], [16, 21], [19, 26], [13, 15], [6, 27], [2, 4], [8, 11]]
[[8, 22], [19, 21], [2, 14], [20, 27], [1, 13], [7, 23], [5, 24], [4, 6], [11, 26], [10, 16], [15, 18], [3, 9]]
[[16, 26], [2, 6], [1, 5], [13, 27], [19, 24], [3, 21], [9, 11], [15, 22], [8, 23], [4, 10], [17, 25], [7, 20]]
[[7, 12], [1, 27], [13, 25], [4, 16], [10, 18], [5, 19], [8, 24], [3, 23], [15, 20], [6, 26], [14, 21], [2, 9]]
[[17, 23], [4, 18], [12, 13], [22, 24], [5, 15], [6, 14], [16, 25], [3, 27], [20, 21], [2, 8], [9, 19], [1, 11]]
[[6, 8], [2, 3], [9, 14], [11, 21], [5, 12], [15, 27], [16, 23], [10, 19], [1, 18], [7, 26], [13, 22], [17, 24]]
[[12, 16], [14, 26], [5, 20], [4, 15], [13, 24], [1, 3], [19, 25], [21, 27], [2, 17], [7, 22], [8, 18], [9, 23]]
[[15, 25], [22, 27], [4, 26], [3, 8], [2, 12], [6, 9], [7, 10], [17, 19], [14, 18], [5, 11], [21, 24], [1, 20]]
[[13, 20], [10, 23], [9, 17], [6, 15], [12, 19], [3, 24], [5, 22], [11, 25], [18, 21], [1, 4], [16, 27], [7, 14]]
[[2, 24], [6, 17], [5, 23], [4, 19], [13, 26], [22, 25], [8, 10], [11, 20], [9, 15], [1, 12], [7, 27], [3, 14]]
[[16, 19], [9, 24], [7, 18], [10, 17], [12, 23], [3, 13], [11, 15], [5, 6], [8, 21], [1, 2], [22, 26], [4, 20]]
[[17, 27], [15, 26], [13, 18], [3, 4], [2, 10], [11, 19], [14, 23], [1, 25], [5, 9], [8, 16], [6, 7], [12, 20]]
[[16, 20], [6, 18], [11, 27], [23, 26], [12, 22], [4, 24], [10, 13], [2, 15], [8, 25], [5, 14], [1, 17], [7, 9]]
[[19, 20], [4, 13], [7, 15], [10, 14], [2, 25], [12, 26], [1, 16], [5, 27], [18, 24], [3, 11], [21, 22], [8, 9]]
[[6, 25], [12, 24], [11, 16], [4, 21], [10, 26], [1, 22], [2, 5], [14, 19], [20, 23], [3, 15], [7, 17], [8, 27]]
[[20, 26], [21, 25], [15, 24], [3, 17], [19, 27], [10, 22], [4, 8], [1, 7], [9, 18], [11, 13], [2, 16], [6, 23]]
[[8, 26], [11, 23], [5, 13], [1, 6], [15, 21], [9, 20], [4, 27], [14, 17], [3, 7], [24, 25], [12, 18], [19, 22]]
[[3, 12], [5, 10], [17, 22], [25, 26], [1, 8], [21, 23], [14, 24], [15, 16], [6, 13], [18, 20], [4, 11], [9, 27]]
[[13, 16], [6, 19], [17, 26], [4, 23], [3, 10], [2, 18], [14, 20], [8, 15], [9, 22], [12, 25], [1, 24], [5, 21]]
[[10, 21], [25, 27], [11, 12], [2, 20], [16, 17], [13, 19], [3, 6], [1, 23], [4, 7], [5, 18], [14, 22], [9, 26]]
[[1, 15], [12, 27], [2, 26], [16, 22], [7, 25], [11, 17], [3, 20], [6, 21], [19, 23], [13, 14], [4, 9], [5, 8]]
[[5, 26], [17, 20], [2, 21], [14, 27], [11, 24], [4, 25], [7, 13], [6, 10], [8, 19], [16, 18], [22, 23], [9, 12]]
[[3, 26], [23, 27], [11, 14], [15, 17], [2, 13], [9, 25], [10, 20], [16, 24], [4, 12], [1, 19], [7, 8], [18, 22]]
[[21, 26], [10, 11], [18, 27]]
Tournament schedule is valid
